Education,Education FOS
Al Akhawayn University,"Finance, International Trade, Marketing, Business Administration and Management, General, Administration et gestion des affaires, général, marketing, finance, Finance, général, Finance, Spécialité 1: Finance / Spécialité 2: Commerce International, International Studies and Diplomacy, Finance et management, Sustainable Energy Management, Finance and HR, Political Science (M.East and American Studies), Software Engineering, Major: Human Resources Development | Minor: Business Administration, Finance / Logistics, Marketing and Management, Organizational Human Development, Minor in Software Engineering, Engineering, Software Engineering and Management Science, International Trade, Finance, International Business, Business Administration, Engineering and Management Science, Computer Science, Computer Software Engineering, Finance, General, Management de projet, Management / Développent RH, Finance and marketing, Engineering Management, Marketing, International Business, Accounting and Finance, School of Science and Engineering, Marketing & Management, Human Resources, Double Major: Finance, International Business, Management, Finance & Logistics, Commerce International, Human Resources Development, Supply Chain, International Cooperation and Development (Middle East and North Africa), Management de projet, Marketing, Ingénierie générale, Communication Studies, Marketing/Marketing Management, International Relations & Gender Studies, Management/Marketing, Leadership, , Finance, Finance and Marketing, Management , Business Administration, Finance, Finance and Financial Management Services, Ingénierie de l''environnement / de la santé environnementale, Marketing & Communication studies, Operations management, Finance et services de gestion financière, Gestion des ressources humaines  / administration du personnel, général, Finance & International Business, International Studies and diplomacy, Finance & Marketing, Finance, marketing, Communication, business administration (marketing & management), Marketing, Finance, International Business/ Logistitics, Marketing & Relations Internationales, Sustainable Energy, Double Major: Management & Marketing, Marketing et logistique, International trade, Major-Finance; Minor-Mathematics, Human Resources Development - Communication studies, Human Resources Management, Communication and Media Studies, Finance, management, International Business and Finance, Ingénierie / Finance, FINANCE AND MARKETING, Relations et affaires internationales, Marketing and Communication, Finance, Logistics, Logistics, Finance, Économie de gestion, Finance & HR, finance, management, marketing, Finance &Marketing, Computer Science minoring in Business Administration, Banking, Corporate, Finance, and Securities Law, International Business and Trade, Marketing international, Minoring in Software Engineering, Professional communication and human resource relations, International Business/Finance, Business Administration, Concentrations: Finance and Logistics, Engineering and Management science., Finance and International Business, General Engineering, Thematic Area: Computer Science, International Business/ Marketing, International Relations, Marketing Management, Business Administration, Management, Marketing and communications, International Studies & Diplomacy, Double Concentration Marketing and Finance, engineering and management science, International/Global Studies, Mathematics and Computer Science, Business Administration and Management, concentration Finance, Industrial Engineering, Human Resource Development / Minor in Business Administration, Finance / Marketing, Développement des ressources humaines, Human Resource Development, Business Administration: Double major in Finance and Marketing, Engineering/Industrial Management, Finance and  marketing, Administration Des Affaires, Finance and management project, Logistics/Finance, Finance et Marketing, Marketing- Communication, Business, Management, Marketing, and Related Support Services, La conception, la mise  en oeuvre et  l'évaluation des dispositifs de formation e-learning, Centre de Langues, Business Administration, Management and Operations, Biometric Systems and software engineering, Marketing / Management, Finance / International Business, Management, International Business, Corporate Finance, Informatique, Marketing et Management, Finance/Marketing, Marketing/ Finance, Marketing / Communication, Business administration, Marketing & Communication Studies, Marketing / Communication Studies, Ingénierie logicielle, International Studies & minor in Communication Studies, Software Engineering & Project management, International Relations and Affairs, Business/Managerial Economics, Finance, logistics, Political Science and Government, Major in Marketing Minor in Communication Studies, Finance, Marketing, Marketing / Finance, Ingénierie informatique, Marketing & International Studies, Marketing/Finance, Marketing and Finance, Infographie & Audiovisuel, International Relations and Communications, International Studies, Major: Human Resources Development; Minor: Business Administration, Finance, and International Business, Biometric Systems & Software Engineering, General Engineer, Business Administration : Finance and Logistics, Sciences informatiques et de l''information et services apparentés, Finance- International Business, International Business / Management, Business, Management, Marketing, and Finance, computer science, Financial and Management Studies, Computer Science/Business Administration, Bachelor, Communications studies, Major in Finance and Marketing, Development and International Cooperation, Ingénierie, computer science  / Business Administration, Finance and international business, Commerce international, Engineering and Management Sciences, Computer Science, Business Administration, Mathematics, Natural Language Processing, Major in Engineering and Management Sciences, Minor in Public Health and Environmental Engineering, Energie solaire, corporate finance"
Al Akhawayn University In Ifrane,Human Resources Development
Al Akhawayn University in Ifrane,"Computer Software Engineering, Finance and Management, Engineering and Management Science, Finance, International Studies and Diplomacy, Sustainable Energy Management, Finance, Marketing, Computer Science, Computer Networks, Marketing, Engineering and Management Sciences, Political Science, MENA region, Software Engineering (Minor in Business Administration), Major in Communication Studies / Minor in Business Administration, General Engineering, Marketing/ Finance"
Al Akhawayn University of Ifrane,"Finance/Logistics, Double Concentration Major in Marketing & Finance, Communication"
Al Akhawayn University of ifrane,"Marketing/Marketing Management, General"
Al Akhawayn university,"Computer and Information Systems Security, Ingénierie informatique, Engineering/Industrial Management"
"Al Hanane Private Institute, Agadir, Morocco",Concentration in Physics & Chemistry.
Al Jabri High School,Experimental science
Al Madariss-Al Hassania,SVT
Al Madina Highschool,SVT
